time,x,r,u_r,a_s
5.67,2.1198,0,1,-1
5.68,2.1086,0,1,-1
5.69,2.09752,0,1,-1
5.7,2.08654,0,1,-1
5.71,2.06568,0,0,-1
5.72,2.04502,0,0,-1
5.73,2.02457,0,0,-1
5.74,2.00433,0,0,-1
5.75,1.98428,0,0,-1
5.76,1.96444,0,0,1
5.77,1.9448,0,0,1
5.78,1.92535,0,0,1
5.79,1.90609,0,0,1
5.8,1.88703,0,0,1
5.81,1.86816,0,0,1
5.82,1.85948,0,1,1
5.83,1.85089,0,1,1
5.84,1.84238,0,1,1
5.85,1.83395,0,1,1
5.86,1.82561,0,1,1
5.87,1.81736,0,1,1
5.88,1.80918,0,1,1
5.89,1.80109,0,1,1
5.9,1.79308,0,1,1
5.91,1.78515,0,1,1
5.92,1.7773,0,1,1
5.93,1.77953,0,2,1
5.94,1.78173,0,2,1
5.95,1.78391,0,2,1
5.96,1.78607,0,2,1
5.97,1.78821,0,2,1
5.98,1.79033,0,2,1
5.99,1.79243,0,2,1
6,1.7945,0,2,1
6.01,1.79656,0,2,1
6.02,1.79859,0,2,1
6.03,1.80061,0,2,1
6.04,1.8126,0,3,1
6.05,1.82448,0,3,1
6.06,1.83623,0,3,1
6.07,1.84787,0,3,1
6.08,1.85939,0,3,1
6.09,1.8708,0,3,1
6.1,1.88209,0,3,1
6.11,1.89327,0,3,1
6.12,1.90433,0,3,1
6.13,1.91529,0,3,1
6.14,1.92614,0,3,1
6.15,1.94688,0,4,1
6.16,1.96741,0,4,1
6.17,1.98773,0,4,1
6.18,2.00786,0,4,1
6.19,2.02778,0,4,-1
6.2,2.0475,0,4,-1
6.21,2.06702,0,4,-1
6.22,2.08635,0,4,-1
6.23,2.10549,0,4,-1
6.24,2.12444,0,4,-1
6.25,2.14319,0,4,-1
6.26,2.15176,0,3,-1
6.27,2.16024,0,3,-1
6.28,2.16864,0,3,-1
6.29,2.17695,0,3,-1
6.3,2.18518,0,3,-1
6.31,2.19333,0,3,-1
6.32,2.2014,0,3,-1
6.33,2.20938,0,3,-1
6.34,2.21729,0,3,-1
6.35,2.22512,0,3,-1
6.36,2.23287,0,3,-1
6.37,2.23054,0,2,-1
6.38,2.22823,0,2,-1
6.39,2.22595,0,2,-1
6.4,2.22369,0,2,-1
6.41,2.22145,0,2,-1
6.42,2.21924,0,2,-1
6.43,2.21705,0,2,-1
6.44,2.21488,0,2,-1
6.45,2.21273,0,2,-1
6.46,2.2106,0,2,-1
6.47,2.20849,0,2,-1
6.48,2.19641,0,1,-1
6.49,2.18445,0,1,-1
6.5,2.1726,0,1,-1
6.51,2.16088,0,1,-1
6.52,2.14927,0,1,-1
6.53,2.13777,0,1,-1
6.54,2.1264,0,1,-1
6.55,2.11513,0,1,-1
6.56,2.10398,0,1,-1
6.57,2.09294,0,1,-1
6.58,2.08201,0,1,-1
6.59,2.06119,0,0,-1
6.6,2.04058,0,0,-1
6.61,2.02017,0,0,-1
6.62,1.99997,0,0,-1
6.63,1.97997,0,0,1
6.64,1.96017,0,0,1
6.65,1.94057,0,0,1
6.66,1.92117,0,0,1
6.67,1.90195,0,0,1
6.68,1.88293,0,0,1
6.69,1.8641,0,0,1
6.7,1.85546,0,1,1
6.71,1.84691,0,1,1
6.72,1.83844,0,1,1
6.73,1.83006,0,1,1
6.74,1.82175,0,1,1
6.75,1.81354,0,1,1
6.76,1.8054,0,1,1
6.77,1.79735,0,1,1
6.78,1.78937,0,1,1
6.79,1.78148,0,1,1
6.8,1.77367,0,1,1
6.81,1.77593,0,2,1
6.82,1.77817,0,2,1
6.83,1.78039,0,2,1
6.84,1.78258,0,2,1
6.85,1.78476,0,2,1
6.86,1.78691,0,2,1
6.87,1.78904,0,2,1
6.88,1.79115,0,2,1
6.89,1.79324,0,2,1
6.9,1.79531,0,2,1
6.91,1.79735,0,2,1
6.92,1.80938,0,3,1
6.93,1.82129,0,3,1
6.94,1.83307,0,3,1
6.95,1.84474,0,3,1
6.96,1.8563,0,3,1
6.97,1.86773,0,3,1
6.98,1.87906,0,3,1
6.99,1.89027,0,3,1
7,1.90136,0,3,1
7.01,1.91235,0,3,1
7.02,1.92323,0,3,1
7.03,1.94399,0,4,1
7.04,1.96455,0,4,1
7.05,1.98491,0,4,1
7.06,2.00506,0,4,1
7.07,2.02501,0,4,-1
7.08,2.04476,0,4,-1
7.09,2.06431,0,4,-1
7.1,2.08367,0,4,-1
7.11,2.10283,0,4,-1
7.12,2.1218,0,4,-1
7.13,2.14058,0,4,-1
7.14,2.14918,0,3,-1
7.15,2.15769,0,3,-1
7.16,2.16611,0,3,-1
7.17,2.17445,0,3,-1
7.18,2.1827,0,3,-1
7.19,2.19088,0,3,-1
7.2,2.19897,0,3,-1
7.21,2.20698,0,3,-1
7.22,2.21491,0,3,-1
7.23,2.22276,0,3,-1
7.24,2.23053,0,3,-1
7.25,2.22823,0,2,-1
7.26,2.22594,0,2,-1
7.27,2.22369,0,2,-1
7.28,2.22145,0,2,-1
7.29,2.21923,0,2,-1
7.3,2.21704,0,2,-1
7.31,2.21487,0,2,-1
7.32,2.21272,0,2,-1
7.33,2.2106,0,2,-1
7.34,2.20849,0,2,-1
7.35,2.2064,0,2,-1
7.36,2.19434,0,1,-1
7.37,2.1824,0,1,-1
7.38,2.17057,0,1,-1
7.39,2.15887,0,1,-1
7.4,2.14728,0,1,-1
7.41,2.13581,0,1,-1
7.42,2.12445,0,1,-1
7.43,2.1132,0,1,-1
7.44,2.10207,0,1,-1
7.45,2.09105,0,1,-1
7.46,2.08014,0,1,-1
7.47,2.05934,0,0,-1
7.48,2.03875,0,0,-1
7.49,2.01836,0,0,-1
7.5,1.99817,0,0,-1
7.51,1.97819,0,0,1
7.52,1.95841,0,0,1
7.53,1.93883,0,0,1
7.54,1.91944,0,0,1
7.55,1.90024,0,0,1
7.56,1.88124,0,0,1
7.57,1.86243,0,0,1
7.58,1.8538,0,1,1
7.59,1.84527,0,1,1
7.6,1.83681,0,1,1
7.61,1.82845,0,1,1
7.62,1.82016,0,1,1
7.63,1.81196,0,1,1
7.64,1.80384,0,1,1
7.65,1.7958,0,1,1
7.66,1.78784,0,1,1
7.67,1.77997,0,1,1
7.68,1.77217,0,1,1
7.69,1.77444,0,2,1
7.7,1.7767,0,2,1
7.71,1.77893,0,2,1
7.72,1.78114,0,2,1
7.73,1.78333,0,2,1
7.74,1.7855,0,2,1
7.75,1.78764,0,2,1
