time,x,r,x_r,u_r,a_s
3.87,2.20603,0,2.20603,1,-1
3.88,2.19397,0,2.19397,1,-1
3.89,2.18203,0,2.18203,1,-1
3.9,2.17021,0,2.17021,1,-1
3.91,2.15851,0,2.15851,1,-1
3.92,2.14692,0,2.14692,1,-1
3.93,2.13545,0,2.13545,1,-1
3.94,2.1241,0,2.1241,1,-1
3.95,2.10286,0,2.10286,0,-1
3.96,2.08183,0,2.08183,0,-1
3.97,2.06101,0,2.06101,0,-1
3.98,2.0404,0,2.0404,0,-1
3.99,2.01999,0,2.01999,0,-1
4,1.99979,0,1.99979,0,-1
4.01,1.9798,0,1.9798,0,1
4.02,1.96,0,1.96,0,1
4.03,1.9404,0,1.9404,0,1
4.04,1.92099,0,1.92099,0,1
4.05,1.90178,0,1.90178,0,1
4.06,1.89277,0,1.89277,1,1
4.07,1.88384,0,1.88384,1,1
4.08,1.875,0,1.875,1,1
4.09,1.86625,0,1.86625,1,1
4.1,1.85759,0,1.85759,1,1
4.11,1.84901,0,1.84901,1,1
4.12,1.84052,0,1.84052,1,1
4.13,1.83212,0,1.83212,1,1
4.14,1.8238,0,1.8238,1,1
4.15,1.81556,0,1.81556,1,1
4.16,1.8074,0,1.8074,1,1
4.17,1.80933,0,1.80933,2,1
4.18,1.81124,0,1.81124,2,1
4.19,1.81312,0,1.81312,2,1
4.2,1.81499,0,1.81499,2,1
4.21,1.81684,0,1.81684,2,1
4.22,1.81867,0,1.81867,2,1
4.23,1.82049,0,1.82049,2,1
4.24,1.82228,0,1.82228,2,1
4.25,1.82406,0,1.82406,2,1
4.26,1.82582,0,1.82582,2,1
4.27,1.82756,0,1.82756,2,1
4.28,1.83928,0,1.83928,3,1
4.29,1.85089,0,1.85089,3,1
4.3,1.86238,0,1.86238,3,1
4.31,1.87376,0,1.87376,3,1
4.32,1.88502,0,1.88502,3,1
4.33,1.89617,0,1.89617,3,1
4.34,1.90721,0,1.90721,3,1
4.35,1.91814,0,1.91814,3,1
4.36,1.92896,0,1.92896,3,1
4.37,1.93967,0,1.93967,3,1
4.38,1.95027,0,1.95027,3,1
4.39,1.97077,0,1.97077,4,1
4.4,1.99106,0,1.99106,4,1
4.41,2.01115,0,2.01115,4,1
4.42,2.03104,0,2.03104,4,-1
